epoch,train_loss,valid_loss,accuracy,snake_score,top_3,f1_score,time
0,1.120487,10.099210,0.495767,8156,0.663177,0.317371,20:17
1,1.130556,10.140472,0.491124,8435,0.662267,0.312358,20:10
2,1.057216,10.171163,0.500501,8306,0.664269,0.319633,20:10
3,0.895261,9.797690,0.509331,8011,0.674283,0.327189,20:39
4,0.807482,9.603076,0.515066,7938,0.680382,0.328792,20:11
5,0.765359,9.472716,0.524260,7811,0.680838,0.338322,20:11
6,0.724801,9.390681,0.521347,7759,0.685389,0.334960,20:11
7,0.699568,9.400701,0.523350,7877,0.682749,0.335346,20:00
8,0.673648,9.246040,0.526536,7681,0.684934,0.340368,19:57
9,0.656073,9.236428,0.526991,7731,0.686482,0.337071,19:57
10,0.638190,9.114251,0.530086,7677,0.690851,0.340283,20:01
11,0.624286,9.110873,0.528903,7742,0.687483,0.336189,20:08
12,0.615106,9.032315,0.529540,7620,0.688302,0.339338,20:08
